MATCHID,TEAM1,TEAM2,SCORES,SETSCORES,ATTACKS1,ATTACKS2,BLOCKS1,BLOCKS2,SERVES1,SERVES2,OPPONENT_ERRORS1,OPPONENT_ERRORS2,TOTAL1,TOTAL2,DIGS1,DIGS2,RECEPTION1,RECEPTION2,SETS1,SETS2
11823,Brazil,Poland,"3
:
1","22-25
25-23
25-16
25-14",54,44,9,7,6,3,28,24,97,78,62,50,62,79,103,102
13650,China,Iran,"1
:
3","15-25
25-19
22-25
15-25",44,48,6,7,5,14,22,25,77,94,30,39,78,65,59,63
13651,Slovenia,United States,"0
:
3","19-25
19-25
14-25",27,36,4,14,3,7,18,18,52,75,37,38,61,41,45,40
13652,Bulgaria,Serbia,"1
:
3","25-19
19-25
22-25
20-25",52,54,15,4,3,8,16,28,86,94,56,76,85,74,98,105
13653,Canada,Germany,"0
:
3","19-25
20-25
28-30",37,43,4,6,4,8,22,23,67,80,42,42,62,58,77,85
13654,Japan,Netherlands,"3
:
1","22-25
26-24
25-22
25-17",54,48,10,9,6,3,28,28,98,88,57,45,73,82,108,102
13655,Brazil,Australia,"3
:
0","25-14
25-18
25-21",29,35,11,5,5,1,30,12,75,53,50,49,36,66,74,87
13656,Poland,Argentina,"3
:
0","25-21
25-22
25-23",45,31,7,6,3,3,20,26,75,66,52,51,52,57,85,83
13657,France,Italy,"3
:
0","25-22
26-24
25-19",37,34,6,6,4,2,29,23,76,65,59,60,49,60,83,95
13658,Japan,China,"3
:
1","21-25
25-19
25-19
25-18",56,37,4,10,8,0,28,34,96,81,48,28,64,69,95,78
13659,Netherlands,United States,"0
:
3","12-25
18-25
16-25",26,42,5,8,0,5,15,20,46,75,29,40,65,38,75,65
13660,Brazil,Slovenia,"3
:
1","25-21
21-25
25-20
25-16",47,52,11,6,8,6,30,18,96,82,48,48,60,81,83,102
13661,Germany,Argentina,"1
:
3","25-18
22-25
17-25
20-25",48,47,6,10,9,6,21,30,84,93,52,58,80,67,101,94
13662,Serbia,France,"1
:
3","25-21
22-25
23-25
23-25",57,51,6,10,3,10,27,25,93,96,77,64,76,77,111,108
13663,Poland,Italy,"1
:
3","25-21
23-25
20-25
20-25",47,48,6,5,4,5,31,38,88,96,51,58,73,66,95,94
13664,Netherlands,Iran,"3
:
0","26-24
25-21
25-21",48,36,8,1,2,7,18,22,76,66,40,35,57,58,77,75
13665,Japan,United States,"2
:
3","25-17
15-25
21-25
28-26
9-15",60,64,3,10,1,4,34,30,98,108,85,72,83,82,140,128
13666,Australia,Slovenia,"0
:
3","22-25
20-25
21-25",36,43,3,7,2,3,22,22,63,75,41,34,58,51,78,66
13667,Serbia,Argentina,"3
:
2","25-16
25-18
17-25
12-25
15-6",47,55,11,10,6,8,30,17,94,90,54,55,72,85,94,109
13668,Bulgaria,Germany,"2
:
3","20-25
25-22
16-25
25-20
10-15",58,61,10,13,2,5,26,28,96,107,47,63,91,78,107,111
13669,France,Canada,"3
:
0","25-16
25-23
25-21",36,28,8,7,6,5,25,20,75,60,46,41,48,57,73,69
13670,United States,Brazil,"3
:
1","21-25
27-25
25-20
25-20",55,56,8,8,5,3,30,23,98,90,58,50,69,81,107,104
13671,Slovenia,China,"3
:
1","25-15
25-20
18-25
27-25",56,47,9,9,2,3,28,26,95,85,51,36,75,79,107,97
13672,Iran,Australia,"3
:
1","25-14
25-22
18-25
25-15",48,40,12,9,5,2,28,25,93,76,51,48,62,76,92,102
